"","time","datacount","interval","activity","cumulativesteps","methrs"
"325",2019-04-11 14:54:36,536772,43.7,1,290,0.0169944444444444
"326",2019-04-11 14:55:19,537209,4.4,2,292,0.00243333333333333
"327",2019-04-11 14:55:24,537253,2.2,2,294,0.00157777777777778
"328",2019-04-11 14:55:26,537275,16.9,1,294,0.00657222222222222
"329",2019-04-11 14:55:43,537444,5.9,2,296,0.00301666666666667
"330",2019-04-11 14:55:49,537503,132,1,296,0.0513333333333333
"331",2019-04-11 14:58:01,538823,2.1,2,298,0.00153888888888889
"332",2019-04-11 14:58:03,538844,94.1,1,298,0.0365944444444444
"333",2019-04-11 14:59:37,539785,4,2,300,0.00227777777777778
"334",2019-04-11 14:59:41,539825,4.5,2,302,0.00247222222222222
"335",2019-04-11 14:59:46,539870,57.9,1,302,0.0225166666666667
"336",2019-04-11 15:00:43,540449,3.4,2,304,0.00204444444444444
"337",2019-04-11 15:00:47,540483,3.6,2,306,0.00212222222222222
"338",2019-04-11 15:00:50,540519,5.9,2,308,0.00301666666666667
"339",2019-04-11 15:00:56,540578,38.1,1,308,0.0148166666666667
"340",2019-04-11 15:01:34,540959,1.9,2,310,0.00146111111111111
"341",2019-04-11 15:01:36,540978,42.1,1,310,0.0163722222222222
"342",2019-04-11 15:02:18,541399,1.7,2,312,0.00138333333333333
"343",2019-04-11 15:02:20,541416,3.6,2,314,0.00212222222222222
"344",2019-04-11 15:02:24,541452,0.3,1,314,0.000116666666666667
"345",2019-04-11 15:02:24,541455,13,0,314,0.00451388888888889
"346",2019-04-11 15:02:37,541585,6.4,1,314,0.00248888888888889
"347",2019-04-11 15:02:43,541649,2.8,2,316,0.00181111111111111
"348",2019-04-11 15:02:46,541677,3.4,2,318,0.00204444444444444
"349",2019-04-11 15:02:50,541711,2.4,2,320,0.00165555555555556
"350",2019-04-11 15:02:52,541735,2.2,2,322,0.00157777777777778
"351",2019-04-11 15:02:54,541757,8.8,1,322,0.00342222222222222
"352",2019-04-11 15:03:03,541845,628.1,0,322,0.218090277777778
"353",2019-04-11 15:13:31,548126,13.6,1,322,0.00528888888888889
"354",2019-04-11 15:13:45,548262,14.4,0,322,0.005
"355",2019-04-11 15:13:59,548406,34.6,1,322,0.0134555555555556
